DistrictName,Name,AUN,Schl,DataElement,DisplayValue
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),5.4
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (White),13.7
Lebanon School District,Lebanon SHS,113384603,5155,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),4.4
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),0.9
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (White),0.0
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),0.9
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lebanon School District,Northwest El Sch,113384603,6894,Percent  Advanced  Mathematics/Algebra 1  (All Student),1.1
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (All Student),11.3
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (English Learner),2.3
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),6.6
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (White),25.0
Lebanon School District,Southeast El Sch,113384603,2746,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),5.3
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),1.4
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (White),5.4
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.3
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lebanon School District,Southwest El Sch,113384603,2743,Percent  Advanced  Mathematics/Algebra 1  (All Student),2.4
Leechburg Area School District,David Leech El Sch,128034503,6579,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),3.8
Leechburg Area School District,David Leech El Sch,128034503,6579,Percent  Advanced  Mathematics/Algebra 1  (All Student),11.8
Leechburg Area School District,David Leech El Sch,128034503,6579,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),11.7
Leechburg Area School District,David Leech El Sch,128034503,6579,Percent  Advanced  Mathematics/Algebra 1  (White),12.3
Leechburg Area School District,Leechburg Area HS,128034503,7923,Percent  Advanced  Mathematics/Algebra 1  (White),9.1
Leechburg Area School District,Leechburg Area HS,128034503,7923,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),8.7
Leechburg Area School District,Leechburg Area HS,128034503,7923,Percent  Advanced  Mathematics/Algebra 1  (All Student),9.0
Leechburg Area School District,Leechburg Area MS,128034503,8393,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Leechburg Area School District,Leechburg Area MS,128034503,8393,Percent  Advanced  Mathematics/Algebra 1  (All Student),14.1
Leechburg Area School District,Leechburg Area MS,128034503,8393,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),10.7
Leechburg Area School District,Leechburg Area MS,128034503,8393,Percent  Advanced  Mathematics/Algebra 1  (White),12.9
Lehigh Career & Technical Institute,Lehigh Career & Technical Institute,121393007,5338,Percent  Advanced  Mathematics/Algebra 1  (All Student),0.00
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),2.1
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (All Student),13.3
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),8.0
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (English Learner),3.9
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (Black),8.0
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),7.7
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (White),18.7
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),11.9
Lehigh Valley Academy Regional CS,Lehigh Valley Academy Regional CS,120480002,7681,Percent  Advanced  Mathematics/Algebra 1  (Asian),29.4
Lehigh Valley Charter High School for the Arts,Lehigh Valley Charter High School for the Arts,120483170,7634,Percent  Advanced  Mathematics/Algebra 1  (White),34.4
Lehigh Valley Charter High School for the Arts,Lehigh Valley Charter High School for the Arts,120483170,7634,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),12.0
Lehigh Valley Charter High School for the Arts,Lehigh Valley Charter High School for the Arts,120483170,7634,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),16.4
Lehigh Valley Charter High School for the Arts,Lehigh Valley Charter High School for the Arts,120483170,7634,Percent  Advanced  Mathematics/Algebra 1  (All Student),25.3
Lehigh Valley Dual Language Charter School,Lehigh Valley Dual Language Charter School,139481451,8130,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lehigh Valley Dual Language Charter School,Lehigh Valley Dual Language Charter School,139481451,8130,Percent  Advanced  Mathematics/Algebra 1  (All Student),2.1
Lehigh Valley Dual Language Charter School,Lehigh Valley Dual Language Charter School,139481451,8130,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.6
Lehigh Valley Dual Language Charter School,Lehigh Valley Dual Language Charter School,139481451,8130,Percent  Advanced  Mathematics/Algebra 1  (English Learner),1.5
Lehigh Valley Dual Language Charter School,Lehigh Valley Dual Language Charter School,139481451,8130,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),2.2
Lehighton Area School District,Lehighton Area El Sch,121135503,8439,Percent  Advanced  Mathematics/Algebra 1  (White),11.8
Lehighton Area School District,Lehighton Area El Sch,121135503,8439,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),0.0
Lehighton Area School District,Lehighton Area El Sch,121135503,8439,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),6.1
Lehighton Area School District,Lehighton Area El Sch,121135503,8439,Percent  Advanced  Mathematics/Algebra 1  (All Student),10.4
Lehighton Area School District,Lehighton Area El Sch,121135503,8439,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),2.2
Lehighton Area School District,Lehighton Area HS,121135503,1315,Percent  Advanced  Mathematics/Algebra 1  (All Student),24.8
Lehighton Area School District,Lehighton Area HS,121135503,1315,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lehighton Area School District,Lehighton Area HS,121135503,1315,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),10.5
Lehighton Area School District,Lehighton Area HS,121135503,1315,Percent  Advanced  Mathematics/Algebra 1  (White),25.5
Lehighton Area School District,Lehighton Area MS,121135503,1314,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),4.2
Lehighton Area School District,Lehighton Area MS,121135503,1314,Percent  Advanced  Mathematics/Algebra 1  (White),10.0
Lehighton Area School District,Lehighton Area MS,121135503,1314,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),5.4
Lehighton Area School District,Lehighton Area MS,121135503,1314,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lehighton Area School District,Lehighton Area MS,121135503,1314,Percent  Advanced  Mathematics/Algebra 1  (All Student),9.5
Lenape Tech,Lenape Tech,128034607,4807,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lenape Tech,Lenape Tech,128034607,4807,Percent  Advanced  Mathematics/Algebra 1  (All Student),4.2
Lenape Tech,Lenape Tech,128034607,4807,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),2.4
Lenape Tech,Lenape Tech,128034607,4807,Percent  Advanced  Mathematics/Algebra 1  (White),4.3
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),45.8
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),7.4
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (White),39.2
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),9.1
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),3.8
Lewisburg Area School District,Donald H Eichhorn MS,116604003,4665,Percent  Advanced  Mathematics/Algebra 1  (All Student),35.7
Lewisburg Area School District,Kelly El Sch,116604003,4084,Percent  Advanced  Mathematics/Algebra 1  (All Student),34.3
Lewisburg Area School District,Kelly El Sch,116604003,4084,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),4.2
Lewisburg Area School District,Kelly El Sch,116604003,4084,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),7.1
Lewisburg Area School District,Kelly El Sch,116604003,4084,Percent  Advanced  Mathematics/Algebra 1  (White),36.9
Lewisburg Area School District,Lewisburg HS,116604003,4085,Percent  Advanced  Mathematics/Algebra 1  (White),50.0
Lewisburg Area School District,Lewisburg HS,116604003,4085,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),26.9
Lewisburg Area School District,Lewisburg HS,116604003,4085,Percent  Advanced  Mathematics/Algebra 1  (All Student),46.4
Lewisburg Area School District,Linntown El Sch,116604003,4081,Percent  Advanced  Mathematics/Algebra 1  (All Student),36.6
Lewisburg Area School District,Linntown El Sch,116604003,4081,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),15.8
Lewisburg Area School District,Linntown El Sch,116604003,4081,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),14.5
Lewisburg Area School District,Linntown El Sch,116604003,4081,Percent  Advanced  Mathematics/Algebra 1  (White),42.1
Lewisburg Area School District,Linntown El Sch,116604003,4081,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),19.0
Ligonier Valley School District,Laurel Valley El Sch,107654903,6940,Percent  Advanced  Mathematics/Algebra 1  (White),6.6
Ligonier Valley School District,Laurel Valley El Sch,107654903,6940,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.5
Ligonier Valley School District,Laurel Valley El Sch,107654903,6940,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Ligonier Valley School District,Laurel Valley El Sch,107654903,6940,Percent  Advanced  Mathematics/Algebra 1  (All Student),6.5
Ligonier Valley School District,Ligonier Valley HS,107654903,4442,Percent  Advanced  Mathematics/Algebra 1  (All Student),34.3
Ligonier Valley School District,Ligonier Valley HS,107654903,4442,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),32.7
Ligonier Valley School District,Ligonier Valley HS,107654903,4442,Percent  Advanced  Mathematics/Algebra 1  (White),34.5
Ligonier Valley School District,Ligonier Valley MS,107654903,4440,Percent  Advanced  Mathematics/Algebra 1  (White),7.6
Ligonier Valley School District,Ligonier Valley MS,107654903,4440,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),7.3
Ligonier Valley School District,Ligonier Valley MS,107654903,4440,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),2.0
Ligonier Valley School District,Ligonier Valley MS,107654903,4440,Percent  Advanced  Mathematics/Algebra 1  (All Student),7.4
Ligonier Valley School District,Mellon El Sch,107654903,5361,Percent  Advanced  Mathematics/Algebra 1  (All Student),16.3
Ligonier Valley School District,Mellon El Sch,107654903,5361,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),2.5
Ligonier Valley School District,Mellon El Sch,107654903,5361,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),10.7
Ligonier Valley School District,Mellon El Sch,107654903,5361,Percent  Advanced  Mathematics/Algebra 1  (White),16.8
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (2 or More Races),4.8
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),2.3
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (White),4.3
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (Black),4.8
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),3.6
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (All Student),3.6
Lincoln CS,Lincoln CS,112673500,7675,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),1.9
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (All Student),2.3
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),2.6
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (English Learner),0.0
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (Black),0.0
Lincoln Leadership Academy Charter School,Lincoln Leadership Academy Charter School,175390169,8125,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),2.1
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,127040002,7859,Percent  Advanced  Mathematics/Algebra 1  (White),18.0
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,127040002,7859,Percent  Advanced  Mathematics/Algebra 1  (Black),3.8
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,127040002,7859,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),9.8
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,127040002,7859,Percent  Advanced  Mathematics/Algebra 1  (All Student),16.4
Lincoln Park Performing Arts CS,Lincoln Park Performing Arts CS,127040002,7859,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),5.3
Lindley Academy CS at Birney,Lindley Academy CS at Birney,126519476,8206,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),1.9
Lindley Academy CS at Birney,Lindley Academy CS at Birney,126519476,8206,Percent  Advanced  Mathematics/Algebra 1  (All Student),1.5
Lindley Academy CS at Birney,Lindley Academy CS at Birney,126519476,8206,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.0
Lindley Academy CS at Birney,Lindley Academy CS at Birney,126519476,8206,Percent  Advanced  Mathematics/Algebra 1  (Black),1.5
Line Mountain School District,Line Mountain El Sch,116493503,6786,Percent  Advanced  Mathematics/Algebra 1  (White),22.7
Line Mountain School District,Line Mountain El Sch,116493503,6786,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),7.7
Line Mountain School District,Line Mountain El Sch,116493503,6786,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),13.0
Line Mountain School District,Line Mountain El Sch,116493503,6786,Percent  Advanced  Mathematics/Algebra 1  (All Student),21.7
Line Mountain School District,Line Mountain HS,116493503,3532,Percent  Advanced  Mathematics/Algebra 1  (All Student),16.7
Line Mountain School District,Line Mountain HS,116493503,3532,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),12.0
Line Mountain School District,Line Mountain HS,116493503,3532,Percent  Advanced  Mathematics/Algebra 1  (White),17.1
Line Mountain School District,Line Mountain MS,116493503,8286,Percent  Advanced  Mathematics/Algebra 1  (White),11.5
Line Mountain School District,Line Mountain MS,116493503,8286,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),9.7
Line Mountain School District,Line Mountain MS,116493503,8286,Percent  Advanced  Mathematics/Algebra 1  (All Student),11.3
Line Mountain School District,Line Mountain MS,116493503,8286,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),5.3
Littlestown Area School District,Alloway Creek El Sch,112015203,8406,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Littlestown Area School District,Alloway Creek El Sch,112015203,8406,Percent  Advanced  Mathematics/Algebra 1  (All Student),14.9
Littlestown Area School District,Alloway Creek El Sch,112015203,8406,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),8.0
Littlestown Area School District,Alloway Creek El Sch,112015203,8406,Percent  Advanced  Mathematics/Algebra 1  (White),16.4
Littlestown Area School District,Littlestown SHS,112015203,14,Percent  Advanced  Mathematics/Algebra 1  (White),30.2
Littlestown Area School District,Littlestown SHS,112015203,14,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),33.6
Littlestown Area School District,Littlestown SHS,112015203,14,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
Littlestown Area School District,Littlestown SHS,112015203,14,Percent  Advanced  Mathematics/Algebra 1  (All Student),29.0
Littlestown Area School District,Maple Avenue MS,112015203,13,Percent  Advanced  Mathematics/Algebra 1  (All Student),6.5
Littlestown Area School District,Maple Avenue MS,112015203,13,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),1.8
Littlestown Area School District,Maple Avenue MS,112015203,13,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),1.3
Littlestown Area School District,Maple Avenue MS,112015203,13,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),0.0
Littlestown Area School District,Maple Avenue MS,112015203,13,Percent  Advanced  Mathematics/Algebra 1  (White),6.7
Lower Dauphin School District,Conewago El Sch,115224003,1747,Percent  Advanced  Mathematics/Algebra 1  (White),31.5
Lower Dauphin School District,Conewago El Sch,115224003,1747,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),31.0
Lower Dauphin School District,Conewago El Sch,115224003,1747,Percent  Advanced  Mathematics/Algebra 1  (All Student),33.0
Lower Dauphin School District,East Hanover El Sch,115224003,1752,Percent  Advanced  Mathematics/Algebra 1  (All Student),27.3
Lower Dauphin School District,East Hanover El Sch,115224003,1752,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),15.7
Lower Dauphin School District,East Hanover El Sch,115224003,1752,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),12.2
Lower Dauphin School District,East Hanover El Sch,115224003,1752,Percent  Advanced  Mathematics/Algebra 1  (Hispanic),15.4
Lower Dauphin School District,East Hanover El Sch,115224003,1752,Percent  Advanced  Mathematics/Algebra 1  (White),29.8
Lower Dauphin School District,Londonderry El Sch,115224003,1775,Percent  Advanced  Mathematics/Algebra 1  (White),21.3
Lower Dauphin School District,Londonderry El Sch,115224003,1775,Percent  Advanced  Mathematics/Algebra 1  (Ecomically Disadvantaged),11.3
Lower Dauphin School District,Londonderry El Sch,115224003,1775,Percent  Advanced  Mathematics/Algebra 1  (Students with Disabilities),0.0
